NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOMF_SPECIES_GO:0004703_G_PROTEIN-COUPLED_RECEPTOR_KINASE_ACTIVITY	10		Rejected!	
GOMF_SPECIES_GO:0004705_JUN_KINASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004706_JUN_KINASE_KINASE_KINASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004707_MAP_KINASE_ACTIVITY	12		Rejected!	
GOMF_SPECIES_GO:0004708_MAP_KINASE_KINASE_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004709_MAP_KINASE_KINASE_KINASE_ACTIVITY	21		Rejected!	
GOMF_SPECIES_GO:0004711_RIBOSOMAL_PROTEIN_S6_KINASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004712_PROTEIN_SERINE/THREONINE/TYROSINE_KINASE_ACTIVITY	23		Rejected!	
GOMF_SPECIES_GO:0004713_PROTEIN_TYROSINE_KINASE_ACTIVITY	100	48		
GOMF_SPECIES_GO:0004714_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	34	22		
GOMF_SPECIES_GO:0004715_NON-MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY	43	16		
GOMF_SPECIES_GO:0004719_PROTEIN-L-ISOASPARTATE_(D-ASPARTATE)_O-METHYLTRANSFERASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004720_PROTEIN-LYSINE_6-OXIDASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004721_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	154	96		
GOMF_SPECIES_GO:0004722_PROTEIN_SERINE/THREONINE_PHOSPHATASE_ACTIVITY	104	65		
GOMF_SPECIES_GO:0004723_CALCIUM-DEPENDENT_PROTEIN_SERINE/THREONINE_PHOSPHATASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004725_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	85	50		
GOMF_SPECIES_GO:0004726_NON-MEMBRANE_SPANNING_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	17		Rejected!	
GOMF_SPECIES_GO:0004730_PSEUDOURIDYLATE_SYNTHASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004731_PURINE-NUCLEOSIDE_PHOSPHORYLASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004734_PYRIMIDODIAZEPINE_SYNTHASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004735_PYRROLINE-5-CARBOXYLATE_REDUCTASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004736_PYRUVATE_CARBOXYLASE_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004738_PYRUVATE_DEHYDROGENASE_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004739_PYRUVATE_DEHYDROGENASE_(ACETYL-TRANSFERRING)_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004741_[PYRUVATE_DEHYDROGENASE_(LIPOAMIDE)]_PHOSPHATASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004742_DIHYDROLIPOYLLYSINE-RESIDUE_ACETYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004743_PYRUVATE_KINASE_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004745_D-RETINOL_DEHYDROGENASE_ACTIVITY	20		Rejected!	
GOMF_SPECIES_GO:0004747_RIBOKINASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004748_RIBONUCLEOSIDE-DIPHOSPHATE_REDUCTASE_ACTIVITY,_THIOREDOXIN_DISULFIDE_AS_ACCEPTOR	2		Rejected!	
GOMF_SPECIES_GO:0004749_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0004757_SEPIAPTERIN_REDUCTASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004758_SERINE_C-PALMITOYLTRANSFERASE_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0004760_SERINE-PYRUVATE_TRANSAMINASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004766_SPERMIDINE_SYNTHASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004767_SPHINGOMYELIN_PHOSPHODIESTERASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004768_STEAROYL-COA_9-DESATURASE_ACTIVITY	15		Rejected!	
GOMF_SPECIES_GO:0004769_STEROID_DELTA-ISOMERASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004771_STEROL_ESTERASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004772_STEROL_O-ACYLTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004774_SUCCINATE-COA_LIGASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004775_SUCCINATE-COA_LIGASE_(ADP-FORMING)_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004776_SUCCINATE-COA_LIGASE_(GDP-FORMING)_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004777_SUCCINATE-SEMIALDEHYDE_DEHYDROGENASE_(D+)_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004779_SULFATE_ADENYLYLTRANSFERASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004781_SULFATE_ADENYLYLTRANSFERASE_(ATP)_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004784_SUPEROXIDE_DISMUTASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004788_THIAMINE_DIPHOSPHOKINASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004791_THIOREDOXIN-DISULFIDE_REDUCTASE_ACTIVITY	17	16		
GOMF_SPECIES_GO:0004792_THIOSULFATE_SULFURTRANSFERASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004793_THREONINE_ALDOLASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004794_L-THREONINE_AMMONIA-LYASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004797_THYMIDINE_KINASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004806_TRIGLYCERIDE_LIPASE_ACTIVITY	51	34		
GOMF_SPECIES_GO:0004809_TR_(GUANINE-N2-)-METHYLTRANSFERASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004812_AMINOACYL-TR_LIGASE_ACTIVITY	59	41		
GOMF_SPECIES_GO:0004813_ALANINE-TR_LIGASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004814_ARGININE-TR_LIGASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004815_ASPARTATE-TR_LIGASE_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0004816_ASPARAGINE-TR_LIGASE_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004817_CYSTEINE-TR_LIGASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004818_GLUTAMATE-TR_LIGASE_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0004820_GLYCINE-TR_LIGASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004821_HISTIDINE-TR_LIGASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004822_ISOLEUCINE-TR_LIGASE_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0004823_LEUCINE-TR_LIGASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004824_LYSINE-TR_LIGASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004825_METHIONINE-TR_LIGASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004826_PHENYLALANINE-TR_LIGASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004827_PROLINE-TR_LIGASE_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0004828_SERINE-TR_LIGASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004829_THREONINE-TR_LIGASE_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004830_TRYPTOPHAN-TR_LIGASE_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004831_TYROSINE-TR_LIGASE_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004832_VALINE-TR_LIGASE_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0004837_TYROSINE_DECARBOXYLASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004838_L-TYROSINE:2-OXOGLUTARATE_AMINOTRANSFERASE_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004839_UBIQUITIN_ACTIVATING_ENZYME_ACTIVITY	12		Rejected!	
GOMF_SPECIES_GO:0004842_UBIQUITIN-PROTEIN_TRANSFERASE_ACTIVITY	336	184		
GOMF_SPECIES_GO:0004843_CYSTEINE-TYPE_DEUBIQUITINASE_ACTIVITY	77	32		
GOMF_SPECIES_GO:0004844_URACIL_D_N-GLYCOSYLASE_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004849_URIDINE_KINASE_ACTIVITY	11		Rejected!	
GOMF_SPECIES_GO:0004850_URIDINE_PHOSPHORYLASE_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004852_UROPORPHYRINOGEN-III_SYNTHASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004853_UROPORPHYRINOGEN_DECARBOXYLASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004854_XANTHINE_DEHYDROGENASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004856_XYLULOKINASE_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0004857_ENZYME_INHIBITOR_ACTIVITY	221	143		
GOMF_SPECIES_GO:0004860_PROTEIN_KINASE_INHIBITOR_ACTIVITY	27		Rejected!	
GOMF_SPECIES_GO:0004861_CYCLIN-DEPENDENT_PROTEIN_SERINE/THREONINE_KINASE_INHIBITOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0004862_CAMP-DEPENDENT_PROTEIN_KINASE_INHIBITOR_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0004864_PROTEIN_PHOSPHATASE_INHIBITOR_ACTIVITY	18	16		
GOMF_SPECIES_GO:0004865_PROTEIN_SERINE/THREONINE_PHOSPHATASE_INHIBITOR_ACTIVITY	12		Rejected!	
GOMF_SPECIES_GO:0004866_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	146	90		
GOMF_SPECIES_GO:0004867_SERINE-TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	111	66		
GOMF_SPECIES_GO:0004869_CYSTEINE-TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	25	19		
GOMF_SPECIES_GO:0004879_NUCLEAR_RECEPTOR_ACTIVITY	52	28		
GOMF_SPECIES_GO:0004888_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY	523	338		
GOMF_SPECIES_GO:0004890_GABA-A_RECEPTOR_ACTIVITY	14		Rejected!	
GOMF_SPECIES_GO:0004895_CELL_ADHESION_RECEPTOR_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0004896_CYTOKINE_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004930_G_PROTEIN-COUPLED_RECEPTOR_ACTIVITY	205	122		
GOMF_SPECIES_GO:0004935_ADRENERGIC_RECEPTOR_ACTIVITY	20		Rejected!	
GOMF_SPECIES_GO:0004948_CALCITONIN_RECEPTOR_ACTIVITY	13		Rejected!	
GOMF_SPECIES_GO:0004952_DOPAMINE_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	19		Rejected!	
GOMF_SPECIES_GO:0004965_G_PROTEIN-COUPLED_GABA_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004970_IONOTROPIC_GLUTAMATE_RECEPTOR_ACTIVITY	40	27		
GOMF_SPECIES_GO:0004972_NMDA_GLUTAMATE_RECEPTOR_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0004977_MELANOCORTIN_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0004983_NEUROPEPTIDE_Y_RECEPTOR_ACTIVITY	41	23		
GOMF_SPECIES_GO:0004984_OLFACTORY_RECEPTOR_ACTIVITY	97	83		
GOMF_SPECIES_GO:0004989_OCTOPAMINE_RECEPTOR_ACTIVITY	28	20		
GOMF_SPECIES_GO:0004993_G_PROTEIN-COUPLED_SEROTONIN_RECEPTOR_ACTIVITY	23	16		
GOMF_SPECIES_GO:0004994_SOMATOSTATIN_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0004995_TACHYKININ_RECEPTOR_ACTIVITY	15		Rejected!	
GOMF_SPECIES_GO:0004997_THYROTROPIN-RELEASING_HORMONE_RECEPTOR_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0005000_VASOPRESSIN_RECEPTOR_ACTIVITY	10		Rejected!	
GOMF_SPECIES_GO:0005001_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	12		Rejected!	
GOMF_SPECIES_GO:0005003_EPHRIN_RECEPTOR_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005005_TRANSMEMBRANE-EPHRIN_RECEPTOR_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005006_EPIDERMAL_GROWTH_FACTOR-ACTIVATED_RECEPTOR_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005007_FIBROBLAST_GROWTH_FACTOR-ACTIVATED_RECEPTOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005009_INSULIN-ACTIVATED_RECEPTOR_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0005024_TRANSFORMING_GROWTH_FACTOR_BETA-ACTIVATED_RECEPTOR_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005025_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_ACTIVITY,_TYPE_I	3		Rejected!	
GOMF_SPECIES_GO:0005030_NEUROTROPHIN_RECEPTOR_ACTIVITY	13		Rejected!	
GOMF_SPECIES_GO:0005031_TUMOR_NECROSIS_FACTOR-ACTIVATED_RECEPTOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005034_OSMOSENSOR_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005035_DEATH_RECEPTOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005041_LOW-DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_ACTIVITY	20		Rejected!	
GOMF_SPECIES_GO:0005042_NETRIN_RECEPTOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005043_NETRIN_RECEPTOR_ACTIVITY_INVOLVED_IN_CHEMOREPULSION	3		Rejected!	
GOMF_SPECIES_GO:0005044_SCAVENGER_RECEPTOR_ACTIVITY	33	28		
GOMF_SPECIES_GO:0005047_SIGNAL_RECOGNITION_PARTICLE_BINDING	7		Rejected!	
GOMF_SPECIES_GO:0005048_SIGNAL_SEQUENCE_BINDING	48	33		
GOMF_SPECIES_GO:0005049_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0005053_PEROXISOME_MATRIX_TARGETING_SIGNAL-2_BINDING	4		Rejected!	
GOMF_SPECIES_GO:0005055_LAMININ_RECEPTOR_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005068_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ADAPTOR_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0005078_MAP-KINASE_SCAFFOLD_ACTIVITY	10		Rejected!	
GOMF_SPECIES_GO:0005080_PROTEIN_KINASE_C_BINDING	12		Rejected!	
GOMF_SPECIES_GO:0005085_GUANYL-NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	189	84		
GOMF_SPECIES_GO:0005092_GDP-DISSOCIATION_INHIBITOR_ACTIVITY	18		Rejected!	
GOMF_SPECIES_GO:0005093_RAB_GDP-DISSOCIATION_INHIBITOR_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005094_RHO_GDP-DISSOCIATION_INHIBITOR_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005096_GTPASE_ACTIVATOR_ACTIVITY	169	90		
GOMF_SPECIES_GO:0005102_SIGNALING_RECEPTOR_BINDING	506	304		
GOMF_SPECIES_GO:0005104_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	8		Rejected!	
GOMF_SPECIES_GO:0005109_FRIZZLED_BINDING	16		Rejected!	
GOMF_SPECIES_GO:0005112_NOTCH_BINDING	66	45		
GOMF_SPECIES_GO:0005113_PATCHED_BINDING	8		Rejected!	
GOMF_SPECIES_GO:0005118_SEVENLESS_BINDING	9		Rejected!	
GOMF_SPECIES_GO:0005119_SMOOTHENED_BINDING	5		Rejected!	
GOMF_SPECIES_GO:0005121_TOLL_BINDING	10		Rejected!	
GOMF_SPECIES_GO:0005122_TORSO_BINDING	4		Rejected!	
GOMF_SPECIES_GO:0005125_CYTOKINE_ACTIVITY	26	18		
GOMF_SPECIES_GO:0005126_CYTOKINE_RECEPTOR_BINDING	40	24		
GOMF_SPECIES_GO:0005154_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_BINDING	17	17		
GOMF_SPECIES_GO:0005158_INSULIN_RECEPTOR_BINDING	16		Rejected!	
GOMF_SPECIES_GO:0005160_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING	12		Rejected!	
GOMF_SPECIES_GO:0005164_TUMOR_NECROSIS_FACTOR_RECEPTOR_BINDING	6		Rejected!	
GOMF_SPECIES_GO:0005172_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_BINDING	4		Rejected!	
GOMF_SPECIES_GO:0005178_INTEGRIN_BINDING	35	17		
GOMF_SPECIES_GO:0005179_HORMONE_ACTIVITY	58	32		
GOMF_SPECIES_GO:0005184_NEUROPEPTIDE_HORMONE_ACTIVITY	31	15		
GOMF_SPECIES_GO:0005198_STRUCTURAL_MOLECULE_ACTIVITY	786		Rejected!	
GOMF_SPECIES_GO:0005200_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON	56	43		
GOMF_SPECIES_GO:0005201_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	87	59		
GOMF_SPECIES_GO:0005212_STRUCTURAL_CONSTITUENT_OF_EYE_LENS	17	15		
GOMF_SPECIES_GO:0005213_STRUCTURAL_CONSTITUENT_OF_EGG_CHORION	8		Rejected!	
GOMF_SPECIES_GO:0005214_STRUCTURAL_CONSTITUENT_OF_CHITIN-BASED_CUTICLE	183	160		
GOMF_SPECIES_GO:0005215_TRANSPORTER_ACTIVITY	1324		Rejected!	
GOMF_SPECIES_GO:0005216_ION_CHANNEL_ACTIVITY	428	222		
GOMF_SPECIES_GO:0005217_INTRACELLULAR_LIGAND-GATED_ION_CHANNEL_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0005221_INTRACELLULAR_CYCLIC_NUCLEOTIDE_ACTIVATED_CATION_CHANNEL_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005222_INTRACELLULAR_CAMP-ACTIVATED_CATION_CHANNEL_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005223_INTRACELLULAR_CGMP-ACTIVATED_CATION_CHANNEL_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005225_VOLUME-SENSITIVE_ANION_CHANNEL_ACTIVITY	13		Rejected!	
GOMF_SPECIES_GO:0005227_CALCIUM_ACTIVATED_CATION_CHANNEL_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005228_INTRACELLULAR_SODIUM_ACTIVATED_POTASSIUM_CHANNEL_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005229_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY	20		Rejected!	
GOMF_SPECIES_GO:0005230_EXTRACELLULAR_LIGAND-GATED_ION_CHANNEL_ACTIVITY	105	48		
GOMF_SPECIES_GO:0005231_EXCITATORY_EXTRACELLULAR_LIGAND-GATED_ION_CHANNEL_ACTIVITY	39	17		
GOMF_SPECIES_GO:0005234_EXTRACELLULARLY_GLUTAMATE-GATED_ION_CHANNEL_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005242_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	18		Rejected!	
GOMF_SPECIES_GO:0005243_GAP_JUNCTION_CHANNEL_ACTIVITY	10		Rejected!	
GOMF_SPECIES_GO:0005244_VOLTAGE-GATED_ION_CHANNEL_ACTIVITY	123	54		
GOMF_SPECIES_GO:0005245_VOLTAGE-GATED_CALCIUM_CHANNEL_ACTIVITY	21		Rejected!	
GOMF_SPECIES_GO:0005246_CALCIUM_CHANNEL_REGULATOR_ACTIVITY	15		Rejected!	
GOMF_SPECIES_GO:0005247_VOLTAGE-GATED_CHLORIDE_CHANNEL_ACTIVITY	14		Rejected!	
GOMF_SPECIES_GO:0005248_VOLTAGE-GATED_SODIUM_CHANNEL_ACTIVITY	15		Rejected!	
GOMF_SPECIES_GO:0005249_VOLTAGE-GATED_POTASSIUM_CHANNEL_ACTIVITY	77	32		
GOMF_SPECIES_GO:0005250_A-TYPE_(TRANSIENT_OUTWARD)_POTASSIUM_CHANNEL_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005251_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	18		Rejected!	
GOMF_SPECIES_GO:0005253_ANION_CHANNEL_ACTIVITY	73	22		
GOMF_SPECIES_GO:0005254_CHLORIDE_CHANNEL_ACTIVITY	71	20		
GOMF_SPECIES_GO:0005261_CATION_CHANNEL_ACTIVITY	300	166		
GOMF_SPECIES_GO:0005262_CALCIUM_CHANNEL_ACTIVITY	88	42		
GOMF_SPECIES_GO:0005267_POTASSIUM_CHANNEL_ACTIVITY	99	47		
GOMF_SPECIES_GO:0005272_SODIUM_CHANNEL_ACTIVITY	72	42		
GOMF_SPECIES_GO:0005275_AMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0005277_ACETYLCHOLINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005280_AMINO_ACID:PROTON_SYMPORTER_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005283_AMINO_ACID:SODIUM_SYMPORTER_ACTIVITY	14		Rejected!	
GOMF_SPECIES_GO:0005287_HIGH-AFFINITY_BASIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0005289_HIGH-AFFINITY_L-ARGININE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7		Rejected!	
GOMF_SPECIES_GO:0005290_L-HISTIDINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005295_NEUTRAL_AMINO_ACID:SODIUM_SYMPORTER_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005310_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	49	34		
GOMF_SPECIES_GO:0005313_L-GLUTAMATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	20	17		
GOMF_SPECIES_GO:0005314_HIGH-AFFINITY_GLUTAMATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0005315_INORGANIC_PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005319_LIPID_TRANSPORTER_ACTIVITY	102	78		
GOMF_SPECIES_GO:0005324_LONG-CHAIN_FATTY_ACID_TRANSPORTER_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0005326_NEUROTRANSMITTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	34	25		
GOMF_SPECIES_GO:0005328_NEUROTRANSMITTER:SODIUM_SYMPORTER_ACTIVITY	14		Rejected!	
GOMF_SPECIES_GO:0005330_DOPAMINE:SODIUM_SYMPORTER_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005332_GAMMA-AMINOBUTYRIC_ACID:SODIUM_SYMPORTER_ACTIVITY	3		Rejected!	
GOMF_SPECIES_GO:0005335_SEROTONIN:SODIUM_SYMPORTER_ACTIVITY	8		Rejected!	
GOMF_SPECIES_GO:0005337_NUCLEOSIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0005338_NUCLEOTIDE-SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	13		Rejected!	
GOMF_SPECIES_GO:0005342_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	218	144		
GOMF_SPECIES_GO:0005343_ORGANIC_ACID:SODIUM_SYMPORTER_ACTIVITY	18		Rejected!	
GOMF_SPECIES_GO:0005344_OXYGEN_CARRIER_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005345_PURINE_NUCLEOBASE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005346_PURINE_RIBONUCLEOTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	20	17		
GOMF_SPECIES_GO:0005347_ATP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005353_FRUCTOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	21	18		
GOMF_SPECIES_GO:0005355_GLUCOSE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	27	23		
GOMF_SPECIES_GO:0005368_TAURINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005369_TAURINE:SODIUM_SYMPORTER_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005372_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9		Rejected!	
GOMF_SPECIES_GO:0005375_COPPER_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	14		Rejected!	
GOMF_SPECIES_GO:0005381_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4		Rejected!	
GOMF_SPECIES_GO:0005384_MANGANESE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6		Rejected!	
GOMF_SPECIES_GO:0005385_ZINC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	20		Rejected!	
GOMF_SPECIES_GO:0005388_P-TYPE_CALCIUM_TRANSPORTER_ACTIVITY	10		Rejected!	
GOMF_SPECIES_GO:0005391_P-TYPE_SODIUM:POTASSIUM-EXCHANGING_TRANSPORTER_ACTIVITY	2		Rejected!	
GOMF_SPECIES_GO:0005402_CARBOHYDRATE:CATION_SYMPORTER_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005415_NUCLEOSIDE:SODIUM_SYMPORTER_ACTIVITY	5		Rejected!	
GOMF_SPECIES_GO:0005416_AMINO_ACID:CATION_SYMPORTER_ACTIVITY	23	18		
